IID	PC1	PC2
MAL-005	-0.7289515	-0.09546131
MAL-009	-0.7204959	-0.09797935
MAL-011	-0.7374487	-0.09728996
MAL-012	-0.733609	-0.09819774
MAL-014	-0.7267434	-0.09523698
MAL-015	-0.7326735	-0.1045214
MAL-018	-0.7309051	-0.09850213
MAL-019	-0.7355078	-0.09667719
MAL-023	-0.7221743	-0.0944578
MAL-024	-0.7290683	-0.09231112
MAL-025	-0.7380172	-0.09836222
MAL-026	-0.7303972	-0.09540656
MAL-028	-0.728415	-0.09590473
MAL-032	-0.72318	-0.102993
MAL-043	-0.7345835	-0.1036487
MAL-045	-0.7354544	-0.1006435
MAL-047	-0.7225013	-0.09428805
MAL-050	-0.7312519	-0.09536988
MAL-058	-0.7349332	-0.1004605
MAL-059	-0.726256	-0.09695881
MAL-065	-0.7171553	-0.09809863
MAL-073	-0.7243002	-0.09632498
MAL-074	-0.721124	-0.09733644
MAL-079	-0.7148954	-0.09452561
MAL-097	-0.7254987	-0.09675951
MAL-099	-0.7193421	-0.09856352
MAL-101	-0.7317311	-0.09713629
MAL-112	-0.7265991	-0.09786653
MAL-122	-0.7367408	-0.1032395
MAL-124	-0.7248068	-0.09844575
MAL-136	-0.728783	-0.1032881
MAL-196	-0.7338115	-0.09455013
MAL-197	-0.7165191	-0.09937696
MAL-206	-0.7248363	-0.09262151
ABA-035	0.08252779	0.1577388
ABA-048	0.08439752	0.1667461
ABA-052	0.07905402	0.1727311
ABA-056	0.08584704	0.1633103
ABA-065	0.08394186	0.1574636
ABA-069	0.08561104	0.1648714
ABA-078	0.08618935	0.1511
ABA-085	0.08096549	0.1742785
ABA-086	0.08107481	0.1384717
ABA-091	0.08181465	0.1752381
ABA-099	0.08481695	0.1583335
ABA-100	0.08250365	0.1647855
Adg-185	0.08183259	0.1760278
Adg-192	0.08319136	0.1766646
Adg-194	0.07813572	0.1777718
Adg-222	0.08320701	0.1837386
Adg-224	0.08230887	0.1735952
Adg-226	0.07532492	0.1856288
Adg-227	0.07541154	0.1775714
Adg-238	0.08628189	0.1673675
ALT-082	0.1154754	-0.02800134
ALT-090	0.14036	-0.1188783
ALT-092	0.1204305	-0.02277226
ALT-093	0.1283887	-0.1095431
ALT-116	0.1270558	-0.09016413
ALT-117	0.135071	-0.09522654
ALT-128	0.1180805	0.01675726
ALT-165	0.1348527	-0.1184344
ALT-167	0.1371874	-0.1312144
ALT-168	0.1391275	-0.1215454
ALT-741	0.1422985	-0.1957965
ALT-743	0.1476703	-0.1993809
